Information for the currently-owned machines and the machines that may be purchased: if 1, the machine can be purchased, otherwise currently-owned.


1                  0.00
2                  0.00
3                  0.00
4                  0.00
5                  0.00
6                  0.00
7                  0.00
8                  0.00
9                  0.00
10                 0.00
11                 1.00
12                 1.00
 


item_machine_arc(j, m) - The relationship arc between item j and machine m, i.e., machine m is capable of producing item j if item_machine_arc(j, m) = 1.


1          1                   1.00
1          2                   1.00
1          3                   1.00
1          4                   0.00
1          5                   0.00
1          6                   0.00
1          7                   0.00
1          8                   0.00
1          9                   0.00
1          10                  1.00
1          11                  1.00
1          12                  0.00
2          1                   0.00
2          2                   0.00
2          3                   0.00
2          4                   0.00
2          5                   0.00
2          6                   1.00
2          7                   0.00
2          8                   0.00
2          9                   0.00
2          10                  0.00
2          11                  0.00
2          12                  0.00
3          1                   0.00
3          2                   0.00
3          3                   1.00
3          4                   0.00
3          5                   0.00
3          6                   0.00
3          7                   1.00
3          8                   0.00
3          9                   1.00
3          10                  0.00
3          11                  0.00
3          12                  0.00
4          1                   0.00
4          2                   0.00
4          3                   0.00
4          4                   0.00
4          5                   1.00
4          6                   0.00
4          7                   0.00
4          8                   0.00
4          9                   0.00
4          10                  0.00
4          11                  0.00
4          12                  0.00
5          1                   0.00
5          2                   0.00
5          3                   1.00
5          4                   0.00
5          5                   0.00
5          6                   0.00
5          7                   1.00
5          8                   0.00
5          9                   1.00
5          10                  0.00
5          11                  0.00
5          12                  1.00
6          1                   0.00
6          2                   0.00
6          3                   0.00
6          4                   0.00
6          5                   0.00
6          6                   1.00
6          7                   1.00
6          8                   0.00
6          9                   1.00
6          10                  1.00
6          11                  0.00
6          12                  0.00
7          1                   0.00
7          2                   1.00
7          3                   0.00
7          4                   0.00
7          5                   0.00
7          6                   0.00
7          7                   0.00
7          8                   1.00
7          9                   0.00
7          10                  0.00
7          11                  0.00
7          12                  0.00
8          1                   0.00
8          2                   0.00
8          3                   0.00
8          4                   0.00
8          5                   0.00
8          6                   0.00
8          7                   0.00
8          8                   0.00
8          9                   0.00
8          10                  0.00
